num_start_samples,mae
5,3.7293240676102934
5,4.294992278282672
5,4.272858832829517
5,4.099609464402067
5,4.1941826772896835
10,4.2323390441876985
10,3.7953237529662327
10,3.8815737565813433
10,4.340130702848625
10,4.176506815704905
15,4.12728561765916
15,4.114410220995082
15,4.119363312971304
15,4.122616553910109
15,4.243259528856043
20,4.148302108023402
20,4.204328389675737
20,4.180074100970909
20,4.2631618182893245
20,4.098787215805073
25,4.1556537219153915
25,4.283562018114604
25,4.3225264690632095
25,4.163622592083409
25,4.290642629868069
30,4.194392692153341
30,4.288380156005243
30,4.10557307791868
30,4.2475343618935115
30,4.199144583176337
5,4.152224086643307
5,4.2153472024061855
5,3.757895214106945
5,3.757895257356626
5,3.75789518029114
5,4.164417320751432
5,3.7993239084230255
5,4.204876932861875
5,4.183835026603068
5,3.7293240384449966
5,3.926466613878881
5,4.224705220534313
5,3.7578952329253914
5,3.7578951921727772
5,4.207462331413958
5,4.25589836707245
5,3.7578953439846305
5,4.348513558984595
5,4.152923957389934
5,3.7578951962349856
10,4.222946391922872
10,4.082533681516757
10,4.28445729985822
10,4.155117043121097
10,4.242799047787433
10,4.236640304047821
10,4.294489733142078
10,4.213005398026311
10,4.132018686573876
10,3.9565744215153273
10,4.159775477685548
10,4.285654181535044
10,4.196291819441036
10,3.91782375587625
10,3.82032376015611
10,4.2219471969387685
10,4.200700200190933
10,3.8815737681646167
10,4.269716947959526
10,4.177384233083659
15,4.1300985626446245
15,4.157464774990645
15,4.18367161906203
15,4.142604712708027
15,3.931955095692724
15,4.1277266821994205
15,4.198062097248483
15,4.232351236334085
15,4.2038732943510855
15,4.1527138806728185
15,4.129350362583017
15,4.218931447440139
15,4.229742735115346
15,3.829546149174989
15,4.1888299000000035
15,4.17906540130352
15,4.108360526682418
15,4.022657481790112
15,4.177411921553178
15,4.03240110000062
20,4.122964801379884
20,4.196884221511271
20,4.255319080287311
20,4.168022253866907
20,4.24806871506915
20,4.185680310642176
20,4.310129143500455
20,4.311116327967093
20,4.299631984133026
20,4.12441463611689
20,4.178844967046926
20,4.27830674534846
20,4.228125220568474
20,4.013091920000329
20,4.189506951106943
20,4.238999637612857
20,4.286733242140014
20,4.307860570809585
20,4.114237019359699
20,4.265948998567841
25,4.17641181264659
25,4.185819413663778
25,4.177958110787861
25,4.20573868007231
25,4.2480530408630415
25,4.243098741953537
25,4.260856707444908
25,4.276969558667931
25,4.183738215751099
25,4.19845465065971
25,4.265423053821791
25,4.302340142178684
25,4.1817836264764
25,4.25781462237208
25,4.309494407092858
25,4.264026667722964
25,4.150817133894847
25,4.307177990921651
25,4.137976754844157
25,4.171865368752103
30,4.12674218639642
30,4.33259912492448
30,4.1159693805689335
30,4.2847185207616345
30,4.308986174190017
30,4.401602434365663
30,4.202691104101822
30,4.26217673213036
30,4.333823350120003
30,4.137703319679215
30,4.270205809664928
30,4.258645281098272
30,4.293111460947666
30,4.2096499751385545
30,4.21606976991909
30,4.198193362099798
30,4.236944750016498
30,4.224404815204387
30,4.276117956537145
30,4.2062224878093195
